sentence	label
@ AdilNisarButt pakistan ka ghra tauq he Pakistan Israel ko tasleem nahein kerta Isko Palestine kehta he - OCCUPIED PALESTINE 	negative
Madarchod mulle ye mathura me Nahi dikha tha jab mullo ne Hindu ko iss liye mara ki vo lasse ki paise mag liye the … https//t.co/oxf8tr3bly	negative
@ narendramodi Manya Pradhan Mantri mahoday Shriman Narendra Modi ji Pradhanmantri banne par Hardik Badhai tahe Dil … https//t.co/pRnoMsKkn1	positive
@ Atheist _ Krishna Jcb full trend me chal rahi aa 	positive
@ AbhisharSharma _ @ RavishKumarBlog Loksabha me janta sirf modi ko vote de rahi thi na ki kisi MP or BJP ko without m … https//t.co/sHtBWCB7FM	positive
@ noirnaveed @ AngelAhana6 @ cricketworldcup Bhosdike tum pechvade ki tatti hi rahoge bc 	negative
Love u Bhaijan ...♥♥ Father + son .. # Bharat # IAmBharat # BharatThisEid BEST Pic From Entire # Promotions ... Mashallah … https//t.co/S2xhwU6LUD	positive
@ manojgajjar111 Tumhara pass abh deemagh hai nahi islea Google ko apna deemagh banaya hua hai . Har koi tumhari tarh … https//t.co/BxuEug3xsN	negative
@ Mahlogo _ nolo Weni ankere o gae this weekend 😂😂😂😂😂 	positive
@ Aurangzeb _ AIMIM @ SachinS40805591 Lage raho mullo tumhre issi Quran faad gyan ki kayal hain duniya Allah bhi khus … https//tco/GHa9dWNZ6u	negative
@ reema _ omer @ BushraGohar @ QasimKhanSuri @ Ali _ MuhammadPTI Pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak … https//t.co/R7pjojNwre	negative
@ cooladitaya @ khanumarfa Ye sale is desh ke kabhi sage nahin ho sakte Ye gaddar hain Inke sath kadi se kadi kanun … https//tco/0HuukV4zK2	negative
@ HYUN7lN saf baby (( i ’ m sorry i wasn ’ t online i hope you ’ re sleeping well though i love you 	positive
@ Nevveon Real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain ... i'm sad for no reason solmon ((( 	negative
@ mjdawar Mohsin DawarTweets daikho aur kuch kha ker mar jao Bayghayrat insanTum aur Ali Wazir harami ho . Pakistan … https//t.co/i9vB0emof3	negative
@ AnupamPKher Kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this type of media channel 	negative
@ EkThaEngg @ AnupamPKher Abe mc .. nhi malum to ammi mat chuda bsdk .. grahm stains ko dara singh ne mara tha adivasiy … https//t.co/cL4elcDUe8	negative
@ tamashbeen _ Well chara Chor ke chele this news is a year old ... 	negative
Twitter k baghair apna roza mumkin nahi hota ? Apna chutiyaap dusron per thopna band karo Bhai ! https//t.co/APKD4G8lh0	positive
Oh haha the soldier is reading American Gods hardy har har thanks for reminding everyone of your OTHER clusterfuck 	negative
@ asadowaisi @ PMOIndia Mp me govt kamalnath ki h ... Wese ek or video viral h jisme aapke shantidut bhai ek dukandar … https//t.co/doLm3ODDCs	negative
@ idevadhikari Dev da tmr new movie song Ami tmk valobasi I really loved ❤😘 a lot 😍😘☺❤💓 	neutral
Abe BC kya le jayenge yeh toh batah abhi 😜 # PAKvWI Babaji Ka Thullu 😂 https//t.co/RtZucwCQxA	positive
I hope I see my baby this weekend but highly doubt it 🥺 ugh 	neutral
@ DesiStupides Teri ma ka sakinaka tujhe Bhadi chinta ho rahi aaj ab 2014 se pehle bhadve log bethe the tab tu dudh … https//t.co/NE5QxI2ArO	negative
@ RubikaLiyaquat Isko zammene chayiye bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul me pm dikh … https//tco/hIrIgg0WnT	neutral
@ AskAnshul Jai Shri Ram Jai Shri Krishna Jai Bajrang Bali Jai Bholenath !!! Hum log Bolne lage to rukenge nahi … https//tco/aTYbGSp5qe	negative
@ praneeth _ rao @ IndiaHistorypic Hindi tumhari bass ki nahi . Nahi seekh paoge . Darte ho kahin Hindi me marks hi nahi … https//t.co/23t3ylApsE	negative
@ TalhaGhouri786 @ shahidmemon20 Hamyat tu khota khor corrupt ganje ki bhi kerte thy kia ukhar lia unhon ne ....... Lanat tere te patwari 	negative
RT @ shirai _ io On sale today # NXTTakeOverXXV !! It ’ s my entrance mask . quality is very very nice 👍🏻 Even back side too . Coming soon @ WW … 	positive
@ Alee _ Ch1 @ SHABAZGIL Pakeeza language ka istemaal tu koi Nooni bhayoon se poochhay Youthie pe aewen e criticism karte Hain . Yeh bhi sahb 	neutral
@ SenTi _ GuLwisH Nahi wo is news ko defend kerne ki koshesh ker rhe hain https//t.co/uxIfr8Z0ZF	neutral
RT @ vikas _ murali @ sardesairajdeep Noone cares We will boycott world cup till # Nesamani recovers and his attacker Krishnamurthy is arreste … 	neutral
@ M _ AHMAD884 @ shahnaveid 1971 😂🤣🤣 Lulli hoti nahi khadi Baten karalo badi badi https//t.co/NNkAZEEx3x	neutral
RT @ FaizanSays23 Dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman to baare paak daman ho gaya . ~ Momin khan Momin 	neutral
@ kanhaiyakumar @ kanhaiyakumar beta nafrat tum jaise jahil ( illiterate ) failate hain Pata nhi kon si phd chal rhi h … https//tco/j8puwJMrNv	negative
@ MirchiSayema One of my favorites too . Another one at the beginning of the movie . Chhoti-chhoti chitrayi yaadein … https//t.co/sLaOp3nBIi	positive
@ waseemAli0007 @_ Mansoor _ Ali @ ImranKhanPTI Tera nam taray ander ki jalan btaa raha hai . Sari duniya main oil price … https//t.co/yTXZdq5Rbz	negative
@ cbhanp . JAI BHEEM . . Great News for BAHUJAN KUMBKARNAAS becoz of whom this is in Happening . This is the Kick St … https//t.co/3rxsK19BVd	neutral
don ’ t u love when the one person that gave a fuck about u is dead -) 	neutral
@ maham _ zaini _ @ peaceforchange En ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye aise nahi samaj … https//t.co/KV53ldcyTY	positive
@ Tang _ color Tum india wale sari yahi sochti ho ki Pakistan wale atankistan h par nhi kuch he log lagti h thik Pakistani bhuta achi h 	positive
@ sardanarohit Rohit bhai I am your big fan Want to meet you 	positive
@ bavS9ZSdtS9YtXz ma lanat bhejta hn tun pe or tmare harami leader niazi pe 	negative
@ I _ dont _ slay @ ATSBB 🤣🤣🤣🤣🤣 Inta seriously nahi leneka segments ko Segments are pure fun 80% nonsense and only cast makes sense 	negative
@ KRKBoxOffice @ kamaalrkhan @ itsBhushanKumar @ ZeeMusicCompany Kutta bhonkne lga bhaiyo firse ....... sale gale me patt … https//t.co/qYfZx4O0WL	negative
@ shoaib100mph World cup mein mard nahi khusre gae hein jo larna nahi Twitter per @ ZAbbasOfficial k sath talian bajana jaante hein 	negative
@ BeingSalmanKhan Bhaijaan ji please mein apka bahot bahot bada fan hoon please meri Jindagi bachalijiye please mein … https//t.co/Y4sXTj6duO	neutral
@ BabaJotwani The scene where sahil proposed to vedika ... That Dialogue was magical indeed coz I haven't heard that … https//t.co/6jP3eglA5d	positive
@ yadavdimples @ kanhaiyakumar @ pbhushan1 A bhauji tohra ka haal ba tu kahe Ludhak gailu .... Eka matlab Akhilesh bha … https//t.co/i2j34CV3pX	neutral
Scratch that . KFC ke bhi auqaat nahi rahee after today's defeat - pesay doob gayee Sarfi ke chakaar main . Andaay … —… https//t.co/Nw2A4ipBBe	negative
RT @ aakashsoni786 # DSSCampaignAgainstDrugAbuse @ Gurmeetramrahim Papa Ji Aj Mera P hd Entrance Exam Tha Ap Ji Ki Rehmt se Bahut Acha ho gy … 	positive
To all muslim sab e qadar mubarak 💓💓💓 https//t.co/0NKi2uqqVE	positive
@ Jainritesh _ rj @ abpnewshindi @ ShashiTharoor kai bar product khrab nhi hota logo ki choice khrab hoti hai product ki … https//tco/mKStT0EbgN	neutral
Aaiye Aapka Intezaar Tha .... DAMN !!!!! Kitna khoobsurat hai yeh ladka . Mashallah 😘😘😘 Can't wait for new season … https//t.co/mJxckM1CAo	positive
RT @ Being _ Zeeshan09 Love u Bhaijan ... Father + son .. # Bharat # IAmBharat BEST Pic From Entire # Promotions ... Mashallah 👌♥🔥 https//t.co/o6d…	positive
@ BaBoo _ sAhEb _ To Tera jat talbani Jess harqate kyu Kar tahe masum logo ko kyu Marta tab Tera ammi kaha Mar jate he … https//t.co/74Zn3UNmDh	negative
@ ANI Mazhab ke naam par Election jeetna koi bada kaarnama nahi hota A message to @ asadowaisi and @ narendramodi https//t.co/RRMXHuYnUU	negative
@ phata _ dhol __ Seriously one of the best post i have seen . Bravo nd respect 	positive
RT @ 1RockChickie May Allah bless us all with strong imaan taqwa piety a pure heart and good manners . 🌹 Ya Allah give me eyes that se … 	positive
Chiller man giving big jhtka # NSEcoloScam has made it a laughing stock @ firstpost @ aajtak @ anjanaomkashyap https//t.co/HLOCU0zKQJ	neutral
RT @ omcswe u do things for ppl u adore because u just want to . it's not a transaction . it's not give & take . u do because it's what u r su … 	neutral
@ GeetaJo03646903 Apne desh ke logo ko thug kar Chala Sanjeev Kapoor world cup dekne 	negative
@ aajtak ab ye btaega . isse pucho tere jiyne b MLA hai usme se gina hindu MLA kaunsa hai teri muslim awaadi wale gaao … https//t.co/5FIJFBYoJk	neutral
@ Aye _ Haaa No lie I think you should buy a new pair bc I haven ’ t put these shits on the charger in a minute 😂 	neutral
@ fahadmustafa26 @ aijazz7 @ faysalquraishi @ Jerjees Bhai yeah glasses wali admi kon hai jo appki har pic main hota hai ...? 	neutral
RT @ bhattd77 @ MamtaOfficial @ TajinderBagga @ Sumita09445393 Mumta Bano Mhatma Ghandhi ki smadhi pe nhi jayegi kyu ? Vhan Ghandhi ji ke akhi … 	neutral
@ Deepak151089 @ Beingmemyself @ UrvashiKothari1 @ LynchNashun @ waglenikhil India me to modi ji aaane k baad muslims sa … https//tco/gLUFjl0Ge3	neutral
Boy kiya age hy tmhri ✴❔❓⁉ Girl 17❗😏 Boy be mine . I LOVE YOU 😗❤💓 Girl I'm taken 💏 Boy abhi tmhri umer hi … https//t.co/IlBOuFff39	neutral
@ undefined _ here @ SyedaSaba12 @ Syed _ Ali _ 9 BTW kisi jhootay maseeha ko maseeha man leny sy qafir nahi ho jata koi .. K … https//t.co/6UANAmRvn2	negative
Mc hai sala @ imVkohli sale lo jyada ghamand hai .. Kuch din ruk sale tera ghamand dur ho jayega .. https//t.co/Bek19Z9oR3	neutral
@ Shaan _ pathan _ 14 @ DwivediAnukriti Ikk toh sarkar job ni de rhi or upper se apne india ke log kaam karna nahi chahat … https//t.co/zfkm4obLd6	neutral
@ RJDforIndia Han Chara ghotale mein bhi to laloo ne kitney hi gavahon ki maut ke ghat utar Diya that 	negative
🏵️ Good Morning @ Gurmeetramrahim papa ji plz bless me more sewa sumiran parmarth ka bal bakhshna ji Dhan dhan sa … https//tco/5HrgLfFwzb	positive
@ mona _ qau Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata Do Karz … https//tco/X60Lm1iVfs	neutral
@ ur _ boi _ kdo Most unpractical and cool sword I ’ ve seen 	neutral
@ suhailswarraich Journals k bare me . Bt ki isne jbhi isko ye cripption Ka certificate dia Gaya h 	positive
@ GauravGarg888 @ PrashantMavani sir # prashant _ dhawan is kohinoor of study iq he is the best teacher of current aff … https//tco/1Jdprmlpvi	positive
@ ReallySwara Last checked MP me Congress ki Sarkar hai and law and order is a state subject . 	neutral
@ RAShahzad1 Yeah jo aap hamara roza kharaab karay hain na yeh uss ka notice hay lol . Allah aap ko aur aap ki family … https//t.co/8UQl4MVHJ3	neutral
Desh ke gaddaro ke liye 5 saal bahut painful hoge kyoki Mota Bhai is now home minister of India 🇮🇳 💪😜😜 https//t.co/H1CxoIOYzI	neutral
🌺 Ekto aap log 😉 muskurate bhut ho ...... or sharmate 😆 bhi bhut ho ..... Dil to karta hi Aaplogon ko Eid pr bolaun ..… https//t.co/uWH4extxel	positive
@ marvisirmed @ mjdawar Nice joke tmhare ghaddaron ko danda janay waala hai landay Ka istimal maal .. pakra hai ussay … https//t.co/IUQCnQH18j	neutral
@ sherryontopp Antar atma ko bech Diya hain jab tak beijjat karke bhagaya nahi jata tab tak nahi hilega lekin rahe … https//tco/2tTS9F7mPx	positive
Khan sahab apko vote diya taky ap PM bany or Alhamdulillah ap bany bi PM 😘😘😘 magar Khan Sahab ab to gabraht ho rahi … https//t.co/JN3t2dIEno	neutral
@ pnbindia sir mere a / c se 22/04/2019 ko Rs1180 /= deduct ho gaya hai kekin branch office kahta ki mai nahi janta ki k … https//t.co/DVr9Ys83Qs	neutral
@__ Amrann You can ’ t even be nice for a second smh 😓 salaam my love 😩 	neutral
@ AmitShah @ narendramodi Aapko bahut bahut badhai ho Amitshah ji asha karte Hain ki aap bhi Modi ji ki tarah hi hama … https//t.co/1hTGPqK2ma	neutral
@ MileyCyrus It would bring me great joy to hear your rendition of Des ’ ree ’ s “ You Gotta Be ”. Just sayin . XOXO 	neutral
@ MaryamNSharif Mera khayal he apki nazron se woh document nehein guzra jis me apke papa ne bahir janey keley Mushar … https//tco/ah7L8yL1jj	neutral
RT @ amnajhk no one no one at all jane the virgin narrator i knoOW ! straight out of a telenovela right ????? 	neutral
@ RajivBrar1810 @ addatoday @ ajaydevgn @ Rakulpreet Bhai plz bhagwan kre # Bharat acchi movie ho qki # dedepyarde jitna … https//tco/bAac04J8Yo	neutral
RT @ GuruOfficial Wishing my bro @ officialvee a very happy birthday . Many more hits on the way together 🙏😊 THANKYOU for giving music to so … 	positive
RT @ arydigitalasia Apki aik gawahi ne Mannat ko pagal saabit kerdia hai ... Watch # Cheekh tonight at 1000 PM only on # ARYDigital https/…	neutral
just listened to my first jojo siwa song ............. i am a fan lol 	neutral
@ RamshaOfficial Sara masla is hi bande ki wajh se hai .. yehi fasad ki jar hai ... is ko team nhe chalane ati ... In palyers ka aps men hasd hai 	neutral
@ Being _ SK _ Chetan @ taran _ adarsh Abe chutiye tera criminal jaisa ghatiya publicity stunt to nhi kr rha h n jo unneces … https//t.co/qP8ZPE3PIY	negative
@ purplemoon _ 613 Kung hnd ko pa checheck bat ka DM ko mukha ni Jungkooky hnd ko maalala na ikaw to HAHAHA 	neutral
Baby you did an amazing job today .. i hope you ’ re feeling good .. i wish i would be at your hotel room wating for yo … https//t.co/G7RWHiIDhs	positive
Dil k khush krny ko ghalib khyal acha ha .... what a myth 😂 https//t.co/efnod8IjPj	neutral
@ MaryamNSharif ALLAH jise chahe Izaat de r jise chahey zilat dt Dua ha ALLAH Nawaz shareef ko us k khandan ko r u … https//t.co/xWjrUnsw88	neutral
RT @ RajheshVaidhya # NGK good one ... kudos to the heroes @ Suriya _ offl @ selvaraghavan @ thisisysr 	positive
@ IndiaToday @ OfficeOfKNath SAHI HOGA SAYAD TABHI SIRF APPKI CHANNEL PE YE DIKH RAHA HAI WARNA KUCH BIKAV MEDIA … https//tco/buhKQcVF92	neutral
@ Mr _ Ez1403 Ja na Pakistani 🐖 pig + Dukkar + kutta + suvar ki mix aulad 😂😂😝😝😆😆😛😛🤣🤣😖😖😆😆😆 	negative
Aise barish se dosti a66i nahi maaraz tere khud ka gar mitti ka h Ku6 to khyal kar Tera intzar har koi nahi karega … https//t.co/VnzralLxAe	neutral
@ anooymous @ IlhanMN What the fuck does this mean apna neeche ka band karke rakhna jyada kholne ki jaroorat hani ??… https//t.co/2CebLvQqNO	negative
Ham tu ak ayena ha tu dikhaya gya dagh chahru ka Jis ku bura laga samna sa hat jay .... We love pak army 👍💪💪 https//t.co/PlH8tCA0F9	neutral
@ BCCI @ DineshKarthik Happy birthday to you bhai . I pray to BABA VISHWANATH for your good health and bright future .… https//t.co/rOlgJ3GrdX	neutral
@ Gurmeetramrahim good morning pita ji thanks for the new day pls bless me sewa sumrin and parmarth bakso ji … https//tco/WxsE6tR8F5	neutral
@ indiatvnews @ ITBP _ official @ manishindiatv Superbbb voice arjun ji u have 🤗 realy its mean it so much ❤ i salute yuh .… https//t.co/YWKwB8QMit	positive
